Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1058","Viande, volaille","2012","2012","tonnes","21750","","Donnée officielle"
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1058","Viande, volaille","2013","2013","tonnes","48389","","Donnée officielle"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","1058","Viande, volaille","2012","2012","1000 US$","35498","","Donnée officielle"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","1058","Viande, volaille","2013","2013","1000 US$","72792","","Donnée officielle"
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","2074","Viande de Volailles","2012","2012","tonnes","21750","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","2074","Viande de Volailles","2013","2013","tonnes","48389","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","2074","Viande de Volailles","2012","2012","1000 US$","35498","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","2074","Viande de Volailles","2013","2013","1000 US$","72792","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1926","Viande Fr Volaille","2012","2012","tonnes","21750","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1926","Viande Fr Volaille","2013","2013","tonnes","48389","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","1926","Viande Fr Volaille","2012","2012","1000 US$","35498","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","2","Afghanistan","5622","Importations - Valeur","1926","Viande Fr Volaille","2013","2013","1000 US$","72792","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1060","Foie gras, préparations","2012","2012","tonnes","3","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1060","Foie gras, préparations","2013","2013","tonnes","3","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1060","Foie gras, préparations","2012","2012","1000 US$","68","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1060","Foie gras, préparations","2013","2013","1000 US$","69","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1060","Foie gras, préparations","2012","2012","tonnes","8","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1060","Foie gras, préparations","2013","2013","tonnes","20","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1060","Foie gras, préparations","2012","2012","1000 US$","24","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1060","Foie gras, préparations","2013","2013","1000 US$","20","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1069","Viande, canard","2012","2012","tonnes","352","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1069","Viande, canard","2013","2013","tonnes","264","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1069","Viande, canard","2012","2012","1000 US$","1000","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1069","Viande, canard","2013","2013","1000 US$","817","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1069","Viande, canard","2012","2012","tonnes","41","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1069","Viande, canard","2013","2013","tonnes","247","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1069","Viande, canard","2012","2012","1000 US$","95","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5922","Exportations - Valeur","1069","Viande, canard","2013","2013","1000 US$","559","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1080","Viande, dinde","2012","2012","tonnes","32546","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1080","Viande, dinde","2013","2013","tonnes","35190","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1080","Viande, dinde","2012","2012","1000 US$","41429","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5622","Importations - Valeur","1080","Viande, dinde","2013","2013","1000 US$","47676","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5910","Exportations - Quantité","1080","Viande, dinde","2012","2012","tonnes","303","","Donnée officielle"
